,chorus.delays,chorus.depths,chorus.n_voices,chorus.speeds,group,overdrive.colour,overdrive.gain_db,phaser.decay,phaser.delay,phaser.gain_in,phaser.speed,reverb.reverberance,reverb.room_scale,reverb.wet_gain,model,chords
36,"[30, 54]",,2.0,,16,20.0,20,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
37,"[30, 54]",,2.0,,17,20.0,5,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
38,"[30, 54]",,2.0,,18,20.0,19,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
39,"[30, 54]",,2.0,,19,20.0,58,,,,,50,100,3,Fender Strat Clean Neck SC,G53-61502-1111-00055
40,,,,,0,20.0,38,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
41,"[30, 54]",,2.0,,1,20.0,14,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
42,,,,,2,20.0,13,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
43,,,,,3,20.0,44,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
44,"[30, 54]",,2.0,,4,20.0,12,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
45,"[30, 54]",,2.0,,5,20.0,39,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
46,,,,,6,20.0,41,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
47,,,,,7,20.0,42,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
48,"[30, 54]",,2.0,,8,20.0,51,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
49,,,,,9,20.0,43,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
50,,,,,10,20.0,15,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
51,"[30, 54]",,2.0,,11,20.0,28,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
52,"[30, 54]",,2.0,,12,20.0,37,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
53,,,,,13,20.0,58,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
54,"[30, 54]",,2.0,,14,20.0,14,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
55,,,,,15,20.0,54,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
56,"[30, 54]",,2.0,,16,20.0,9,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
57,"[30, 54]",,2.0,,17,20.0,56,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
58,"[30, 54]",,2.0,,18,20.0,29,,,,,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
59,"[30, 54]",,2.0,,19,20.0,29,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-51206-1111-00020
60,,,,,0,20.0,5,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
61,,,,,1,20.0,24,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
62,"[30, 54]",,2.0,,2,20.0,36,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
63,"[30, 54]",,2.0,,3,20.0,50,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
64,"[30, 54]",,2.0,,4,20.0,49,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
65,,,,,5,20.0,40,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
66,,,,,6,20.0,11,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
67,"[30, 54]",,2.0,,7,20.0,21,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
68,"[30, 54]",,2.0,,8,20.0,51,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
69,"[30, 54]",,2.0,,9,20.0,15,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
70,,,,,10,20.0,33,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
71,,,,,11,20.0,35,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
72,"[30, 54]",,2.0,,12,20.0,25,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
73,"[30, 54]",,2.0,,13,20.0,43,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
74,,,,,14,20.0,42,,,,,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
75,"[30, 54]",,2.0,,15,20.0,43,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
76,,,,,16,20.0,35,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
77,,,,,17,20.0,35,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
78,"[30, 54]",,2.0,,18,20.0,26,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
79,"[30, 54]",,2.0,,19,20.0,52,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-66507-1111-00060
80,,,,,0,20.0,51,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
81,"[30, 54]",,2.0,,1,20.0,12,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
82,"[30, 54]",,2.0,,2,20.0,23,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
83,,,,,3,20.0,0,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
84,,,,,4,20.0,40,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
85,,,,,5,20.0,46,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
86,"[30, 54]",,2.0,,6,20.0,44,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
87,"[30, 54]",,2.0,,7,20.0,43,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
88,,,,,8,20.0,53,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
89,"[30, 54]",,2.0,,9,20.0,25,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
90,"[30, 54]",,2.0,,10,20.0,54,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
91,"[30, 54]",,2.0,,11,20.0,27,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
92,"[30, 54]",,2.0,,12,20.0,10,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
93,,,,,13,20.0,15,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
94,"[30, 54]",,2.0,,14,20.0,45,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
95,"[30, 54]",,2.0,,15,20.0,57,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
96,,,,,16,20.0,39,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
97,,,,,17,20.0,29,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
98,"[30, 54]",,2.0,,18,20.0,13,,,,,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
99,,,,,19,20.0,30,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-65601-1111-00067
100,,,,,0,20.0,53,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
101,,,,,1,20.0,19,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
102,,,,,2,20.0,58,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
103,"[30, 54]",,2.0,,3,20.0,4,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
104,,,,,4,20.0,49,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
105,"[30, 54]",,2.0,,5,20.0,59,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
106,,,,,6,20.0,1,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
107,"[30, 54]",,2.0,,7,20.0,44,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
108,"[30, 54]",,2.0,,8,20.0,4,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
109,,,,,9,20.0,30,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
110,,,,,10,20.0,16,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
111,"[30, 54]",,2.0,,11,20.0,19,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
112,"[30, 54]",,2.0,,12,20.0,45,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
113,"[30, 54]",,2.0,,13,20.0,36,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
114,,,,,14,20.0,51,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
115,,,,,15,20.0,49,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
116,"[30, 54]",,2.0,,16,20.0,3,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
117,"[30, 54]",,2.0,,17,20.0,49,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
118,"[30, 54]",,2.0,,18,20.0,19,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
119,"[30, 54]",,2.0,,19,20.0,34,,,,,50,100,3,Fender Strat Clean Neck SC,G53-69605-1111-00071
120,,,,,0,20.0,36,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
121,"[30, 54]",,2.0,,1,20.0,39,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
122,,,,,2,20.0,9,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
123,"[30, 54]",,2.0,,3,20.0,48,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
124,,,,,4,20.0,19,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
125,,,,,5,20.0,27,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
126,"[30, 54]",,2.0,,6,20.0,34,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
127,"[30, 54]",,2.0,,7,20.0,8,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
128,,,,,8,20.0,1,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
129,"[30, 54]",,2.0,,9,20.0,35,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
130,"[30, 54]",,2.0,,10,20.0,25,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
131,"[30, 54]",,2.0,,11,20.0,39,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
132,,,,,12,20.0,26,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
133,,,,,13,20.0,16,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
134,"[30, 54]",,2.0,,14,20.0,16,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
135,,,,,15,20.0,37,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
136,"[30, 54]",,2.0,,16,20.0,47,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
137,,,,,17,20.0,20,,,,,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
138,,,,,18,20.0,16,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
139,,,,,19,20.0,6,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-48203-1111-00017
140,,,,,0,20.0,46,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
141,"[30, 54]",,2.0,,1,20.0,36,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
142,"[30, 54]",,2.0,,2,20.0,45,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
143,"[30, 54]",,2.0,,3,20.0,38,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
144,,,,,4,20.0,53,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
145,,,,,5,20.0,35,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
146,"[30, 54]",,2.0,,6,20.0,41,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
147,"[30, 54]",,2.0,,7,20.0,21,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
148,,,,,8,20.0,50,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
149,"[30, 54]",,2.0,,9,20.0,28,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
150,,,,,10,20.0,27,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
151,"[30, 54]",,2.0,,11,20.0,22,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
152,"[30, 54]",,2.0,,12,20.0,29,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
153,"[30, 54]",,2.0,,13,20.0,20,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
154,,,,,14,20.0,3,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
155,,,,,15,20.0,54,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
156,,,,,16,20.0,24,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
157,"[30, 54]",,2.0,,17,20.0,10,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
158,"[30, 54]",,2.0,,18,20.0,41,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
159,"[30, 54]",,2.0,,19,20.0,32,,,,,50,100,3,Fender Strat Clean Neck SC,G53-40100-1111-00001
160,,,,,0,20.0,24,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
161,,,,,1,20.0,26,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
162,,,,,2,20.0,59,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
163,"[30, 54]",,2.0,,3,20.0,17,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
164,"[30, 54]",,2.0,,4,20.0,1,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
165,"[30, 54]",,2.0,,5,20.0,49,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
166,,,,,6,20.0,44,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
167,,,,,7,20.0,18,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
168,,,,,8,20.0,17,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
169,"[30, 54]",,2.0,,9,20.0,21,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
170,,,,,10,20.0,45,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
171,,,,,11,20.0,18,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
172,,,,,12,20.0,33,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
173,"[30, 54]",,2.0,,13,20.0,19,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
174,,,,,14,20.0,59,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
175,,,,,15,20.0,48,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
176,,,,,16,20.0,16,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
177,,,,,17,20.0,49,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
178,,,,,18,20.0,29,,,,,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
179,,,,,19,20.0,9,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-50300-1111-00027
180,,,,,0,20.0,20,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
181,"[30, 54]",,2.0,,1,20.0,25,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
182,,,,,2,20.0,25,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
183,"[30, 54]",,2.0,,3,20.0,6,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
184,"[30, 54]",,2.0,,4,20.0,56,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
185,,,,,5,20.0,28,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
186,,,,,6,20.0,3,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
187,"[30, 54]",,2.0,,7,20.0,57,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
188,,,,,8,20.0,53,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
189,"[30, 54]",,2.0,,9,20.0,23,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
190,"[30, 54]",,2.0,,10,20.0,18,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
191,,,,,11,20.0,25,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
192,"[30, 54]",,2.0,,12,20.0,30,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
193,,,,,13,20.0,16,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
194,"[30, 54]",,2.0,,14,20.0,40,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
195,,,,,15,20.0,33,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
196,"[30, 54]",,2.0,,16,20.0,29,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
197,"[30, 54]",,2.0,,17,20.0,28,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
198,,,,,18,20.0,26,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
199,"[30, 54]",,2.0,,19,20.0,23,,,,,50,100,3,Fender Strat Clean Neck SC,G53-64505-1111-00058
200,,,,,0,20.0,38,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
201,,,,,1,20.0,11,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
202,,,,,2,20.0,16,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
203,"[30, 54]",,2.0,,3,20.0,1,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
204,,,,,4,20.0,12,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
205,,,,,5,20.0,53,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
206,,,,,6,20.0,1,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
207,"[30, 54]",,2.0,,7,20.0,32,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
208,,,,,8,20.0,58,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
209,,,,,9,20.0,18,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
210,,,,,10,20.0,50,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
211,,,,,11,20.0,57,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
212,,,,,12,20.0,40,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
213,,,,,13,20.0,22,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
214,,,,,14,20.0,26,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
215,,,,,15,20.0,6,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
216,,,,,16,20.0,6,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
217,"[30, 54]",,2.0,,17,20.0,36,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
218,"[30, 54]",,2.0,,18,20.0,9,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
219,,,,,19,20.0,40,,,,,50,100,3,Fender Strat Clean Neck SC,G53-53303-1111-00030
220,,,,,0,20.0,33,,,,,50,100,3,Fender Strat Clean Neck SC,G53-58308-1111-00035
221,"[30, 54]",,2.0,,1,20.0,11,0.4,3.0,0.8,0.5,50,100,3,Fender Strat Clean Neck SC,G53-58308-1111-00035
