,chord_name,chorus.delays,chorus.depths,chorus.n_voices,chorus.speeds,group,model_name,overdrive.colour,overdrive.gain_db,phaser.decay,phaser.delay,phaser.gain_in,phaser.speed,reverb.reverberance,reverb.room_scale,reverb.wet_gain
53,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,13,Fender Strat Clean Neck SC,76,19,0.4,3.0,0.8,0.5,90,100,3
54,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,14,Fender Strat Clean Neck SC,62,67,,,,,95,100,3
55,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,15,Fender Strat Clean Neck SC,80,29,,,,,94,100,3
56,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,16,Fender Strat Clean Neck SC,70,20,,,,,100,100,3
57,G53-42102-1111-00003_powerchords_root_42_49_54.wav,"[30, 54]",,2.0,,17,Fender Strat Clean Neck SC,18,29,0.4,3.0,0.8,0.5,56,100,3
58,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,18,Fender Strat Clean Neck SC,61,77,,,,,96,100,3
59,G53-42102-1111-00003_powerchords_root_42_49_54.wav,,,,,19,Fender Strat Clean Neck SC,66,62,0.4,3.0,0.8,0.5,85,100,3
60,G53-43103-1111-00004_powerchords_root_43_50_55.wav,,,,,0,Fender Strat Clean Neck SC,29,48,0.4,3.0,0.8,0.5,92,100,3
61,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,1,Fender Strat Clean Neck SC,2,63,,,,,59,100,3
62,G53-43103-1111-00004_powerchords_root_43_50_55.wav,,,,,2,Fender Strat Clean Neck SC,73,36,0.4,3.0,0.8,0.5,77,100,3
63,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,3,Fender Strat Clean Neck SC,60,66,0.4,3.0,0.8,0.5,85,100,3
64,G53-43103-1111-00004_powerchords_root_43_50_55.wav,,,,,4,Fender Strat Clean Neck SC,12,77,0.4,3.0,0.8,0.5,76,100,3
65,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,5,Fender Strat Clean Neck SC,13,31,,,,,79,100,3
66,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,6,Fender Strat Clean Neck SC,7,50,,,,,72,100,3
67,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,7,Fender Strat Clean Neck SC,46,18,0.4,3.0,0.8,0.5,50,100,3
68,G53-43103-1111-00004_powerchords_root_43_50_55.wav,,,,,8,Fender Strat Clean Neck SC,12,74,,,,,96,100,3
69,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,9,Fender Strat Clean Neck SC,39,65,,,,,93,100,3
70,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,10,Fender Strat Clean Neck SC,13,17,0.4,3.0,0.8,0.5,75,100,3
71,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,11,Fender Strat Clean Neck SC,11,79,,,,,84,100,3
72,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,12,Fender Strat Clean Neck SC,46,39,0.4,3.0,0.8,0.5,81,100,3
73,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,13,Fender Strat Clean Neck SC,47,16,,,,,100,100,3
74,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,14,Fender Strat Clean Neck SC,21,60,,,,,90,100,3
75,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,15,Fender Strat Clean Neck SC,31,45,,,,,89,100,3
76,G53-43103-1111-00004_powerchords_root_43_50_55.wav,,,,,16,Fender Strat Clean Neck SC,51,77,,,,,96,100,3
77,G53-43103-1111-00004_powerchords_root_43_50_55.wav,"[30, 54]",,2.0,,17,Fender Strat Clean Neck SC,27,16,,,,,80,100,3
78,G53-43103-1111-00004_powerchords_root_43_50_55.wav,,,,,18,Fender Strat Clean Neck SC,28,66,0.4,3.0,0.8,0.5,69,100,3
79,G53-43103-1111-00004_powerchords_root_43_50_55.wav,,,,,19,Fender Strat Clean Neck SC,76,67,,,,,70,100,3
80,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,0,Fender Strat Clean Neck SC,3,24,0.4,3.0,0.8,0.5,73,100,3
81,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,1,Fender Strat Clean Neck SC,40,48,,,,,59,100,3
82,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,2,Fender Strat Clean Neck SC,34,46,,,,,64,100,3
83,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,3,Fender Strat Clean Neck SC,7,33,,,,,62,100,3
84,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,4,Fender Strat Clean Neck SC,5,77,,,,,58,100,3
85,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,5,Fender Strat Clean Neck SC,9,24,0.4,3.0,0.8,0.5,92,100,3
86,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,6,Fender Strat Clean Neck SC,75,66,0.4,3.0,0.8,0.5,96,100,3
87,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,7,Fender Strat Clean Neck SC,60,58,0.4,3.0,0.8,0.5,66,100,3
88,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,8,Fender Strat Clean Neck SC,71,61,,,,,56,100,3
89,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,9,Fender Strat Clean Neck SC,77,40,,,,,95,100,3
90,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,10,Fender Strat Clean Neck SC,26,56,,,,,56,100,3
91,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,11,Fender Strat Clean Neck SC,68,38,0.4,3.0,0.8,0.5,85,100,3
92,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,12,Fender Strat Clean Neck SC,45,32,,,,,61,100,3
93,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,13,Fender Strat Clean Neck SC,55,68,0.4,3.0,0.8,0.5,61,100,3
94,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,14,Fender Strat Clean Neck SC,34,45,,,,,67,100,3
95,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,15,Fender Strat Clean Neck SC,58,74,0.4,3.0,0.8,0.5,87,100,3
96,G53-44104-1111-00005_powerchords_root_44_51_56.wav,,,,,16,Fender Strat Clean Neck SC,29,80,,,,,93,100,3
97,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,17,Fender Strat Clean Neck SC,39,47,,,,,86,100,3
98,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,18,Fender Strat Clean Neck SC,22,54,0.4,3.0,0.8,0.5,59,100,3
99,G53-44104-1111-00005_powerchords_root_44_51_56.wav,"[30, 54]",,2.0,,19,Fender Strat Clean Neck SC,30,68,0.4,3.0,0.8,0.5,69,100,3
100,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,0,Fender Strat Clean Neck SC,2,53,,,,,80,100,3
101,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,1,Fender Strat Clean Neck SC,45,15,,,,,58,100,3
102,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,2,Fender Strat Clean Neck SC,44,51,0.4,3.0,0.8,0.5,65,100,3
103,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,3,Fender Strat Clean Neck SC,38,15,0.4,3.0,0.8,0.5,60,100,3
104,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,4,Fender Strat Clean Neck SC,9,65,,,,,64,100,3
105,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,5,Fender Strat Clean Neck SC,7,63,,,,,53,100,3
106,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,6,Fender Strat Clean Neck SC,9,39,0.4,3.0,0.8,0.5,76,100,3
107,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,7,Fender Strat Clean Neck SC,66,57,,,,,89,100,3
108,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,8,Fender Strat Clean Neck SC,32,54,0.4,3.0,0.8,0.5,68,100,3
109,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,9,Fender Strat Clean Neck SC,43,55,,,,,63,100,3
110,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,10,Fender Strat Clean Neck SC,6,54,,,,,88,100,3
111,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,11,Fender Strat Clean Neck SC,12,34,0.4,3.0,0.8,0.5,96,100,3
112,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,12,Fender Strat Clean Neck SC,75,80,,,,,86,100,3
113,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,13,Fender Strat Clean Neck SC,12,15,0.4,3.0,0.8,0.5,62,100,3
114,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,14,Fender Strat Clean Neck SC,2,75,,,,,53,100,3
115,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,15,Fender Strat Clean Neck SC,29,38,,,,,53,100,3
116,G53-45105-1111-00006_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,16,Fender Strat Clean Neck SC,17,63,,,,,68,100,3
117,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,17,Fender Strat Clean Neck SC,41,56,,,,,99,100,3
118,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,18,Fender Strat Clean Neck SC,65,79,,,,,59,100,3
119,G53-45105-1111-00006_powerchords_root_45_52_57.wav,,,,,19,Fender Strat Clean Neck SC,76,76,,,,,52,100,3
120,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,0,Fender Strat Clean Neck SC,38,48,,,,,77,100,3
121,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,1,Fender Strat Clean Neck SC,57,48,0.4,3.0,0.8,0.5,86,100,3
122,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,2,Fender Strat Clean Neck SC,55,63,,,,,72,100,3
123,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,3,Fender Strat Clean Neck SC,61,35,0.4,3.0,0.8,0.5,51,100,3
124,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,4,Fender Strat Clean Neck SC,76,73,,,,,94,100,3
125,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,5,Fender Strat Clean Neck SC,40,57,,,,,55,100,3
126,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,6,Fender Strat Clean Neck SC,67,56,0.4,3.0,0.8,0.5,74,100,3
127,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,7,Fender Strat Clean Neck SC,1,47,0.4,3.0,0.8,0.5,56,100,3
128,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,8,Fender Strat Clean Neck SC,48,21,,,,,65,100,3
129,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,9,Fender Strat Clean Neck SC,73,58,,,,,100,100,3
130,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,10,Fender Strat Clean Neck SC,48,55,,,,,76,100,3
131,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,11,Fender Strat Clean Neck SC,58,60,,,,,67,100,3
132,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,12,Fender Strat Clean Neck SC,59,36,,,,,63,100,3
133,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,13,Fender Strat Clean Neck SC,62,22,0.4,3.0,0.8,0.5,62,100,3
134,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,14,Fender Strat Clean Neck SC,65,64,,,,,94,100,3
135,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,15,Fender Strat Clean Neck SC,1,69,,,,,62,100,3
136,G53-45200-1111-00014_powerchords_root_45_52_57.wav,"[30, 54]",,2.0,,16,Fender Strat Clean Neck SC,37,18,0.4,3.0,0.8,0.5,68,100,3
137,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,17,Fender Strat Clean Neck SC,62,61,0.4,3.0,0.8,0.5,69,100,3
138,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,18,Fender Strat Clean Neck SC,32,22,,,,,75,100,3
139,G53-45200-1111-00014_powerchords_root_45_52_57.wav,,,,,19,Fender Strat Clean Neck SC,52,80,,,,,56,100,3
140,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,0,Fender Strat Clean Neck SC,49,27,,,,,90,100,3
141,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,1,Fender Strat Clean Neck SC,18,57,0.4,3.0,0.8,0.5,70,100,3
142,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,2,Fender Strat Clean Neck SC,44,50,0.4,3.0,0.8,0.5,100,100,3
143,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,3,Fender Strat Clean Neck SC,32,67,,,,,98,100,3
144,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,4,Fender Strat Clean Neck SC,12,42,0.4,3.0,0.8,0.5,91,100,3
145,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,5,Fender Strat Clean Neck SC,56,39,0.4,3.0,0.8,0.5,63,100,3
146,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,6,Fender Strat Clean Neck SC,74,41,,,,,92,100,3
147,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,7,Fender Strat Clean Neck SC,31,32,0.4,3.0,0.8,0.5,73,100,3
148,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,8,Fender Strat Clean Neck SC,49,35,0.4,3.0,0.8,0.5,77,100,3
149,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,9,Fender Strat Clean Neck SC,2,26,,,,,95,100,3
150,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,10,Fender Strat Clean Neck SC,77,70,,,,,55,100,3
151,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,11,Fender Strat Clean Neck SC,60,48,0.4,3.0,0.8,0.5,61,100,3
152,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,12,Fender Strat Clean Neck SC,78,40,,,,,59,100,3
153,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,13,Fender Strat Clean Neck SC,5,64,,,,,74,100,3
154,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,14,Fender Strat Clean Neck SC,20,74,,,,,62,100,3
155,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,15,Fender Strat Clean Neck SC,11,38,,,,,69,100,3
156,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,16,Fender Strat Clean Neck SC,13,24,0.4,3.0,0.8,0.5,86,100,3
157,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,17,Fender Strat Clean Neck SC,52,71,,,,,73,100,3
158,G53-46106-1111-00007_powerchords_root_46_53_58.wav,,,,,18,Fender Strat Clean Neck SC,3,15,0.4,3.0,0.8,0.5,79,100,3
159,G53-46106-1111-00007_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,19,Fender Strat Clean Neck SC,13,71,,,,,89,100,3
160,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,0,Fender Strat Clean Neck SC,33,58,0.4,3.0,0.8,0.5,51,100,3
161,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,1,Fender Strat Clean Neck SC,75,44,,,,,62,100,3
162,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,2,Fender Strat Clean Neck SC,42,18,,,,,73,100,3
163,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,3,Fender Strat Clean Neck SC,0,18,0.4,3.0,0.8,0.5,68,100,3
164,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,4,Fender Strat Clean Neck SC,38,77,0.4,3.0,0.8,0.5,80,100,3
165,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,5,Fender Strat Clean Neck SC,36,19,,,,,92,100,3
166,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,6,Fender Strat Clean Neck SC,37,57,,,,,67,100,3
167,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,7,Fender Strat Clean Neck SC,51,27,0.4,3.0,0.8,0.5,82,100,3
168,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,8,Fender Strat Clean Neck SC,68,70,0.4,3.0,0.8,0.5,91,100,3
169,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,9,Fender Strat Clean Neck SC,8,37,0.4,3.0,0.8,0.5,66,100,3
170,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,10,Fender Strat Clean Neck SC,62,49,0.4,3.0,0.8,0.5,87,100,3
171,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,11,Fender Strat Clean Neck SC,46,31,,,,,87,100,3
172,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,12,Fender Strat Clean Neck SC,54,41,0.4,3.0,0.8,0.5,65,100,3
173,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,13,Fender Strat Clean Neck SC,8,36,,,,,75,100,3
174,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,14,Fender Strat Clean Neck SC,33,48,0.4,3.0,0.8,0.5,64,100,3
175,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,15,Fender Strat Clean Neck SC,1,24,0.4,3.0,0.8,0.5,58,100,3
176,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,16,Fender Strat Clean Neck SC,21,42,,,,,97,100,3
177,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,17,Fender Strat Clean Neck SC,5,21,,,,,89,100,3
178,G53-46201-1111-00015_powerchords_root_46_53_58.wav,"[30, 54]",,2.0,,18,Fender Strat Clean Neck SC,39,59,0.4,3.0,0.8,0.5,85,100,3
179,G53-46201-1111-00015_powerchords_root_46_53_58.wav,,,,,19,Fender Strat Clean Neck SC,65,20,,,,,52,100,3
180,G53-47107-1111-00008_powerchords_root_47_54_59.wav,,,,,0,Fender Strat Clean Neck SC,50,75,0.4,3.0,0.8,0.5,52,100,3
181,G53-47107-1111-00008_powerchords_root_47_54_59.wav,,,,,1,Fender Strat Clean Neck SC,72,34,,,,,57,100,3
182,G53-47107-1111-00008_powerchords_root_47_54_59.wav,"[30, 54]",,2.0,,2,Fender Strat Clean Neck SC,29,67,0.4,3.0,0.8,0.5,73,100,3
