,chorus.delays,chorus.depths,chorus.n_voices,chorus.speeds,group,overdrive.colour,overdrive.gain_db,phaser.decay,phaser.delay,phaser.gain_in,phaser.speed,reverb.reverberance,reverb.room_scale,reverb.wet_gain,model,chords
58,,,,,18,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
59,"[30, 54]",,2.0,,19,,,,,,,56.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59404-1111-278_powerchords_root_59_66_71
60,,,,,0,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
61,,,,,1,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
62,"[30, 54]",,2.0,,2,20.0,45.0,0.4,3.0,0.8,0.5,52.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
63,"[30, 54]",,2.0,,3,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
64,"[30, 54]",,2.0,,4,20.0,31.0,,,,,76.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
65,"[30, 54]",,2.0,,5,20.0,26.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
66,"[30, 54]",,2.0,,6,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
67,"[30, 54]",,2.0,,7,,,,,,,53.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
68,,,,,8,20.0,55.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
69,,,,,9,,,,,,,90.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
70,,,,,10,,,0.4,3.0,0.8,0.5,60.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
71,"[30, 54]",,2.0,,11,,,,,,,68.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
72,"[30, 54]",,2.0,,12,,,,,,,55.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
73,"[30, 54]",,2.0,,13,20.0,51.0,0.4,3.0,0.8,0.5,61.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
74,,,,,14,20.0,24.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
75,,,,,15,20.0,56.0,0.4,3.0,0.8,0.5,81.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
76,"[30, 54]",,2.0,,16,20.0,43.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
77,"[30, 54]",,2.0,,17,20.0,29.0,,,,,65.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
78,,,,,18,20.0,68.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
79,"[30, 54]",,2.0,,19,,,0.4,3.0,0.8,0.5,50.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_56_63_68
80,,,,,0,20.0,43.0,0.4,3.0,0.8,0.5,60.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
81,"[30, 54]",,2.0,,1,20.0,26.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
82,,,,,2,20.0,39.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
83,"[30, 54]",,2.0,,3,,,,,,,99.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
84,,,,,4,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
85,"[30, 54]",,2.0,,5,20.0,56.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
86,,,,,6,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
87,,,,,7,20.0,70.0,,,,,54.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
88,,,,,8,20.0,52.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
89,"[30, 54]",,2.0,,9,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
90,,,,,10,,,0.4,3.0,0.8,0.5,53.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
91,,,,,11,20.0,43.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
92,,,,,12,20.0,35.0,0.4,3.0,0.8,0.5,84.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
93,"[30, 54]",,2.0,,13,,,,,,,54.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
94,"[30, 54]",,2.0,,14,,,0.4,3.0,0.8,0.5,79.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
95,"[30, 54]",,2.0,,15,20.0,35.0,0.4,3.0,0.8,0.5,75.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
96,,,,,16,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
97,"[30, 54]",,2.0,,17,,,,,,,99.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
98,,,,,18,,,,,,,88.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
99,,,,,19,20.0,38.0,,,,,89.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-63408-1111-282_powerchords_root_63_70_75
100,"[30, 54]",,2.0,,0,20.0,20.0,0.4,3.0,0.8,0.5,96.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
101,"[30, 54]",,2.0,,1,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
102,,,,,2,20.0,39.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
103,,,,,3,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
104,,,,,4,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
105,"[30, 54]",,2.0,,5,,,0.4,3.0,0.8,0.5,87.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
106,,,,,6,20.0,62.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
107,"[30, 54]",,2.0,,7,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
108,,,,,8,20.0,54.0,,,,,74.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
109,,,,,9,20.0,51.0,0.4,3.0,0.8,0.5,54.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
110,"[30, 54]",,2.0,,10,20.0,34.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
111,,,,,11,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
112,"[30, 54]",,2.0,,12,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
113,"[30, 54]",,2.0,,13,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
114,,,,,14,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
115,,,,,15,20.0,26.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
116,"[30, 54]",,2.0,,16,,,0.4,3.0,0.8,0.5,62.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
117,"[30, 54]",,2.0,,17,,,,,,,97.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
118,,,,,18,20.0,24.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
119,"[30, 54]",,2.0,,19,20.0,53.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-47107-1111-242_powerchords_root_47_54_59
120,,,,,0,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
121,,,,,1,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
122,,,,,2,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
123,"[30, 54]",,2.0,,3,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
124,,,,,4,,,,,,,86.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
125,,,,,5,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
126,"[30, 54]",,2.0,,6,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
127,,,,,7,20.0,57.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
128,"[30, 54]",,2.0,,8,20.0,64.0,,,,,55.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
129,"[30, 54]",,2.0,,9,20.0,28.0,,,,,100.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
130,,,,,10,,,,,,,82.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
131,"[30, 54]",,2.0,,11,,,0.4,3.0,0.8,0.5,81.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
132,"[30, 54]",,2.0,,12,20.0,53.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
133,,,,,13,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
134,,,,,14,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
135,"[30, 54]",,2.0,,15,20.0,28.0,,,,,100.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
136,"[30, 54]",,2.0,,16,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
137,,,,,17,,,,,,,64.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
138,"[30, 54]",,2.0,,18,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
139,,,,,19,20.0,51.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,pwch_44_51_56
140,,,,,0,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
141,,,,,1,,,,,,,69.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
142,,,,,2,20.0,36.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
143,,,,,3,,,,,,,56.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
144,"[30, 54]",,2.0,,4,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
145,,,,,5,20.0,56.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
146,,,,,6,,,,,,,100.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
147,,,,,7,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
148,"[30, 54]",,2.0,,8,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
149,,,,,9,,,0.4,3.0,0.8,0.5,77.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
150,"[30, 54]",,2.0,,10,,,,,,,63.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
151,"[30, 54]",,2.0,,11,20.0,57.0,,,,,65.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
152,,,,,12,20.0,58.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
153,,,,,13,20.0,24.0,,,,,73.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
154,,,,,14,20.0,44.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
155,"[30, 54]",,2.0,,15,20.0,21.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
156,,,,,16,20.0,32.0,,,,,80.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
157,,,,,17,20.0,62.0,,,,,97.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
158,"[30, 54]",,2.0,,18,,,,,,,92.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
159,"[30, 54]",,2.0,,19,,,0.4,3.0,0.8,0.5,69.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-53208-1111-256_powerchords_root_53_60_65
160,"[30, 54]",,2.0,,0,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
161,,,,,1,,,,,,,51.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
162,"[30, 54]",,2.0,,2,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
163,,,,,3,,,,,,,51.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
164,"[30, 54]",,2.0,,4,20.0,57.0,,,,,51.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
165,"[30, 54]",,2.0,,5,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
166,,,,,6,20.0,20.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
167,,,,,7,,,,,,,80.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
168,,,,,8,20.0,60.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
169,,,,,9,,,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
170,"[30, 54]",,2.0,,10,,,0.4,3.0,0.8,0.5,58.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
171,,,,,11,,,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
172,,,,,12,20.0,42.0,0.4,3.0,0.8,0.5,100.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
173,,,,,13,20.0,36.0,,,,,94.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
174,"[30, 54]",,2.0,,14,20.0,21.0,0.4,3.0,0.8,0.5,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
175,"[30, 54]",,2.0,,15,20.0,38.0,,,,,82.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
176,,,,,16,,,0.4,3.0,0.8,0.5,99.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
177,"[30, 54]",,2.0,,17,20.0,59.0,,,,,81.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
178,,,,,18,20.0,40.0,,,,,,,,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
179,"[30, 54]",,2.0,,19,,,0.4,3.0,0.8,0.5,54.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-59309-1111-270_powerchords_root_59_66_71
180,"[30, 54]",,2.0,,0,20.0,68.0,0.4,3.0,0.8,0.5,63.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-49204-1111-252_powerchords_root_49_56_61
181,"[30, 54]",,2.0,,1,20.0,35.0,0.4,3.0,0.8,0.5,76.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-49204-1111-252_powerchords_root_49_56_61
182,,,,,2,,,,,,,91.0,100.0,3.0,Ibanez Power Strat Clean Bridge HU,G53-49204-1111-252_powerchords_root_49_56_61
